discharge_condition,substrate,position,time_min,etch_depth_nm,etch_rate_nm_per_min,pred_piml
100W 13Pa 3min Ar:O2,Si,center,3,46.3122,15.437399999999998,12.819639
100W 13Pa 3min Ar:O2,Si,center,3,43.9873,14.662433333333333,12.819639
100W 13Pa 3min Ar:O2,Si,center,3,38.7393,12.9131,12.819639
100W 13Pa 3min Ar:O2,Si,center,3,40.4598,13.486600000000001,12.819639
100W 13Pa 3min Ar:O2,Si,center,3,39.4265,13.142166666666666,12.819639
100W 13Pa 3min Ar:O2,SiO2,center,3,86.8787,28.959566666666664,20.211296
100W 13Pa 3min Ar:O2,SiO2,center,3,83.0562,27.6854,20.211296
100W 13Pa 3min Ar:O2,SiO2,center,3,87.636,29.212,20.211296
100W 13Pa 3min Ar:O2,SiO2,center,3,80.7284,26.909466666666663,20.211296
100W 13Pa 3min Ar:O2,SiO2,center,3,80.7713,26.923766666666666,20.211296
100W 13Pa 3min Ar:O2,SiN,center,3,63.4229,21.140966666666667,29.022984
100W 13Pa 3min Ar:O2,SiN,center,3,58.7331,19.5777,29.022984
100W 13Pa 3min Ar:O2,SiN,center,3,58.9504,19.650133333333333,29.022984
100W 13Pa 3min Ar:O2,SiN,center,3,66.4068,22.1356,29.022984
100W 13Pa 3min Ar:O2,SiN,center,3,68.4482,22.816066666666668,29.022984
100W 13Pa 3min Ar:O2,Si,center,3,59.8278,19.942600000000002,21.363497
100W 13Pa 3min Ar:O2,Si,center,3,55.3219,18.440633333333334,21.363497
100W 13Pa 3min Ar:O2,Si,center,3,59.2619,19.753966666666667,21.363497
100W 13Pa 3min Ar:O2,Si,center,3,61.3448,20.448266666666665,21.363497
100W 13Pa 3min Ar:O2,Si,center,3,50.0913,16.6971,21.363497
100W 13Pa 3min Ar:O2,SiO2,center,3,96.0038,32.001266666666666,24.814823
100W 13Pa 3min Ar:O2,SiO2,center,3,94.629,31.543000000000003,24.814823
100W 13Pa 3min Ar:O2,SiO2,center,3,94.0798,31.359933333333334,24.814823
100W 13Pa 3min Ar:O2,SiO2,center,3,100.214,33.404666666666664,24.814823
100W 13Pa 3min Ar:O2,SiO2,center,3,92.0507,30.683566666666668,24.814823
100W 13Pa 3min Ar:O2,SiN,center,3,91.7875,30.59583333333333,31.820389
100W 13Pa 3min Ar:O2,SiN,center,3,89.4425,29.814166666666665,31.820389
100W 13Pa 3min Ar:O2,SiN,center,3,93.2778,31.0926,31.820389
100W 13Pa 3min Ar:O2,SiN,center,3,84.457,28.15233333333333,31.820389
100W 13Pa 3min Ar:O2,SiN,center,3,92.9104,30.970133333333333,31.820389
100W 13Pa 3min Ar:O2,Si,center,3,66.5807,22.193566666666666,28.053085
100W 13Pa 3min Ar:O2,Si,center,3,76.3393,25.44643333333333,28.053085
