y_true,y_phys,y_nn,y_total,substrate
15.4374,10.090424,2.7292151,12.819639,Si
14.662434,10.090424,2.7292151,12.819639,Si
12.9131,10.090424,2.7292151,12.819639,Si
13.4866,10.090424,2.7292151,12.819639,Si
13.142167,10.090424,2.7292151,12.819639,Si
28.959566,10.224165,9.987131,20.211296,SiO2
27.6854,10.224165,9.987131,20.211296,SiO2
29.212,10.224165,9.987131,20.211296,SiO2
26.909466,10.224165,9.987131,20.211296,SiO2
26.923767,10.224165,9.987131,20.211296,SiO2
21.140966,10.235174,18.78781,29.022984,SiN
19.5777,10.235174,18.78781,29.022984,SiN
19.650133,10.235174,18.78781,29.022984,SiN
22.1356,10.235174,18.78781,29.022984,SiN
22.816067,10.235174,18.78781,29.022984,SiN
19.9426,10.090424,11.273073,21.363497,Si
18.440634,10.090424,11.273073,21.363497,Si
19.753967,10.090424,11.273073,21.363497,Si
20.448267,10.090424,11.273073,21.363497,Si
16.6971,10.090424,11.273073,21.363497,Si
32.001266,10.224165,14.590659,24.814823,SiO2
31.543,10.224165,14.590659,24.814823,SiO2
31.359934,10.224165,14.590659,24.814823,SiO2
33.404667,10.224165,14.590659,24.814823,SiO2
30.683567,10.224165,14.590659,24.814823,SiO2
30.595833,10.235174,21.585215,31.820389,SiN
29.814167,10.235174,21.585215,31.820389,SiN
31.0926,10.235174,21.585215,31.820389,SiN
28.152334,10.235174,21.585215,31.820389,SiN
30.970133,10.235174,21.585215,31.820389,SiN
22.193567,10.090424,17.962662,28.053085,Si
25.446434,10.090424,17.962662,28.053085,Si
24.1212,10.090424,17.962662,28.053085,Si
23.8861,10.090424,17.962662,28.053085,Si
28.263933,10.090424,17.962662,28.053085,Si
34.678,10.224165,18.215736,28.439901,SiO2
35.244,10.224165,18.215736,28.439901,SiO2
34.753,10.224165,18.215736,28.439901,SiO2
32.543266,10.224165,18.215736,28.439901,SiO2
35.305332,10.224165,18.215736,28.439901,SiO2
31.540367,10.235174,23.44279,33.677963,SiN
31.773033,10.235174,23.44279,33.677963,SiN
31.109,10.235174,23.44279,33.677963,SiN
32.263634,10.235174,23.44279,33.677963,SiN
31.159166,10.235174,23.44279,33.677963,SiN
24.851334,10.090424,22.56479,32.655212,Si
25.420334,10.090424,22.56479,32.655212,Si
24.6522,10.090424,22.56479,32.655212,Si
27.7315,10.090424,22.56479,32.655212,Si
27.2612,10.090424,22.56479,32.655212,Si
34.289665,10.224165,21.158026,31.38219,SiO2
34.72167,10.224165,21.158026,31.38219,SiO2
36.400333,10.224165,21.158026,31.38219,SiO2
36.075333,10.224165,21.158026,31.38219,SiO2
35.130333,10.224165,21.158026,31.38219,SiO2
28.678467,10.090424,25.486797,35.57722,Si
26.830034,10.090424,25.486797,35.57722,Si
30.5983,10.090424,25.486797,35.57722,Si
26.857367,10.090424,25.486797,35.57722,Si
28.234434,10.090424,25.486797,35.57722,Si
34.983665,10.224165,23.608551,33.832718,SiO2
37.274334,10.224165,23.608551,33.832718,SiO2
36.915,10.224165,23.608551,33.832718,SiO2
36.878334,10.224165,23.608551,33.832718,SiO2
44.022,10.235174,24.453993,34.689167,SiN
46.016,10.235174,24.453993,34.689167,SiN
45.314,10.235174,24.453993,34.689167,SiN
45.062,10.235174,24.453993,34.689167,SiN
44.793,10.235174,24.453993,34.689167,SiN
1.3181,4.902859,-2.5502522,2.352607,Si
1.75025,4.902859,-2.5502522,2.352607,Si
1.49454,4.902859,-2.5502522,2.352607,Si
2.55298,4.902859,-2.5502522,2.352607,Si
1.65122,4.902859,-2.5502522,2.352607,Si
3.18212,5.199606,-2.7856617,2.4139442,SiO2
2.20406,5.199606,-2.7856617,2.4139442,SiO2
2.21303,5.199606,-2.7856617,2.4139442,SiO2
2.20766,5.199606,-2.7856617,2.4139442,SiO2
2.54851,5.199606,-2.7856617,2.4139442,SiO2
1.22553,5.041778,-3.0834591,1.958319,SiN
